Stall,Unit,Address,Area,Postal Code
112 COFFEE STALL,#01-14,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
112 YONG TAU FOO,#01-34,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
AH BAO MEI SHI,#01-10,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
AH CHENG ROASTED MEAT,#02-08,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
CHINA STREET MEI SHI,#01-12,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
DOLPHIN FLORIST & TRADING,#01-23,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
JIN DE YUN,#01-22,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
JIT MAN PRAWN NOODLE,#01-16,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
KIM KEE VEGETARIAN FOOD,#01-01,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
KONG HIN GOLDSMITH,#02-17,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
KWAN PORK STALL (WM),#02-10,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
LIN JI TRADITIONAL,#01-20,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
LU JIANG,#01-11,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
LYE HUAT COOKED FOOD,#01-21,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
NG SEAFOOD 01-42,#01-42,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
NG SEAFOOD 01-43,#01-43,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
RAHUMATH FOOD,#01-19,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
RAYNALD ONE VEGE (WM),#01-32,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
SEAFOOD 01-47,#01-47,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
SEAFOOD 01-48,#01-48,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
SIN HOE SENG KAT KEE (LU),#02-27,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
SOON HENG (LU),#02-23,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
SUM PORK TRADERS (WM),#02-13,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
WANG WANG FRUITS STALL,#02-05,"112 JALAN BUKIT MERAH, S160112",112 BUKIT MERAH MARKET & FOOD CENTRE,160112
